ARRANS,HO,3 Hamble RoadBN24 5PU,01323 741568
ARSCOTTS LIMITED,HO,54 Lansdowne PlaceBN3 1FG,01273 735289
ARTHUR BARNES & CO,HO,1st FloorEC1V 2PY,020 7278 3046
ARTHUR SMITHS,HO,30-32 King StreetWN1 1DA,01942 242815
ASB ASPIRE LIMITED LIABILITY PARTNERSHIP,HO,Westbrook HouseME14 5DZ,01622 356 000
ASB ASPIRE LIMITED LIABILITY PARTNERSHIP,BRN,Innovis HouseRH10 1AS,01293 603603
ASB LAW,HO,Innovis HouseRH10 1AS,01293 603603
ASB LAW,BRN,Horizon HouseME14 3EN,01622 656500
ASB LAW,BRN,18 London RoadRH12 1AY,01403 246800
ASB LAW,BRN,95 Queens RoadBN1 3XE,01273 828000
ASB LAW,BRN,44-46 Old SteineBN1 1NH,01273 229900
ASCOT LAWYERS,HO,Summit HouseRG12 2XH,01344 783890
ASCROFT WHITESIDE,HO,303 Whitegate DriveFY3 9JS,01253 766 866
ASGHAR & COMPANY,HO,112/114 The BroadwayUB1 1QF,020 8843 0010
ASGHAR & COMPANY,BRN,First FloorSL1 1JQ,01753 535577
ASH CLIFFORD,HO,10-14 NorthgateTA6 3EU,01278 451327
ASHBURNS SOLICITORS,HO,Trocoll HouseIG11 8PD,0208 591 5297
ASHFORDS LLP,HO,Ashford HouseEX1 3LH,01392 337 000
ASHFORDS LLP,BRN,Gotham HouseEX16 6LT,01884 203000
ASHFORDS LLP,BRN,Blackbrook Park AvenueTA1 2PX,01823 284 444
ASHFORDS LLP,BRN,Princess CourtPL1 2EX,01752 521500
ASHFORDS LLP,BRN,Bull WharfBS1 6QR,0117 321 8000
ASHFORDS LLP,BRN,1 Northumberland AvenueWC2N 5BW,0208 938 6323
ASHLEY WILSON SOLICITORS LLP,HO,57 Buckingham GateSW1E 6AJ,0207 802 4802
ASHTON  ROWE SOLICITORS,HO,128 Northfields AvenueW13 9RT,020 8567 1234
ASHTON  ROWE SOLICITORS,BRN,10 Greycoat PlaceSW1P 1SB,0207 960 6048
ASHTON BOND GIGG,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651
ASHTON GRAHAM,HO,Waterfront HouseIP4 1AS,01473 232425
ASHTON GRAHAM,BRN,Anglia HouseIP11 7AN,01394 277188
ASHTON GRAHAM,BRN,81 Guildhall StreetIP33 1PZ,01284 762331
ASHTON GRAHAM NOMINEES,HO,81 Guildhall StreetIP33 1PZ,01473 232425
ASHTON MORTON SLACK LLP,HO,35-47 North Church StreetS1 2DH,1142752888
ASHTONS SOLICITORS,HO,19 Hanover SquareLS3 1AP,0113 2438688
ASHURST LLP,HO,Broadwalk HouseEC2A 2HA,020 7638 1111
ASHWORTHS,HO,The Old ExchangeSW19 7QD,0845 370 1000
ASPECT LAW,HO,Globe HouseWS1 1PL,0871 288 3212
ASPINALL WRIGHT,HO,65 High Street WestSK13 8AZ,01457 854645
ASPLEY LAW LIMITED,HO,203 Church StreetCM11 2TP,07939 039 850
ASSERSON LAW OFFICES,BRN,First FloorW1S 1SU,0207 199 3773
AST HAMPSONS,HO,128 Yorkshire StreetOL16 1LA,01706 653322
AST HAMPSONS,BRN,337 Hollinwood AvenueM40 0JA,0161 681 1169
AST HAMPSONS,BRN,21-23 Knowsley StreetBL9 0ST,0161 763 1000
AST HAMPSONS,BRN,7 South ParadeOL16 1LR,01706 522311
ASTON BOND LLP,HO,135-137 High StreetSL1 1DN,01753 486 777
ASTON BOND LLP,BRN,10 Southern CourtRG1 4QS,0118 959 6031
ASTON CLARK SOLICITORS,HO,225-227 High StreetW3 9BY,020 8752 1122
ATHA & CO SOLICITORS,HO,165 Albert RoadTS1 2PX,01642 222575
ATHA BARTON LIMITED,BRN,95 High StreetTS12 2DY,01287 651521
ATHERTON GODFREY,HO,8 Hall GateDN1 3LU,01302 320621
ATKINS BASSETT,HO,16 Station RoadLE10 1AW,01455 632685
ATKINS PUBLIC LAW LIMITED,HO,The Red HouseEX4 4BS,01392 671657
ATKINS THOMSON,HO,41 Maiden LaneWC2E 7LJ,020 7836 9300
ATKINS THOMSON,BRN,Low Green Barn  Low GreenIP29 5ND,01284 767766
ATKINS WILSON & BELL LLP,HO,3-5 Jenner RoadGU1 3AQ,01483 302345
ATKINSON & FIRTH,HO,Fenix HouseBD18 3QY,01274 584305
ATKINSON CLAPHAM,BRN,40 BoroughgateLS21 1AF,01943 466 922
ATKINSON RITSON,HO,15 Fisher StreetCA3 8RW,01228 525221
ATLANTIC LAW LLP,HO,1 Great Cumberland PlaceW1H 7AL,020 7616 2888
ATM SOLICITORS LIMITED,HO,100 Washway RoadM33 7RE,
ATTER MACKENZIE & CO,HO,Bridge CourtWR11 4RY,01386 425300
ATTEYS,HO,82 Cleveland StreetDN1 3DR,01302 340400
ATTEYS,BRN,18-20 Ship HillS60 2HG,01709 372266
ATTEYS,BRN,22 Hartley StreetS64 9LX,01709 584014
ATTEYS,BRN,44 Duke StreetDN1 3EA,01302 340400
ATTEYS,BRN,31 Regent StreetS70 2HJ,01226 212345
ATTEYS,BRN,9 High StreetS63 7QQ,01709 872106
ATTEYS,BRN,The Red Brick HouseS1 4EL,0114 276 6767
ATTEYS,BRN,Richmonds HouseDN4 5JH,01302 762 900
ATTEYS,BRN,19 ChurchgateDN22 6PF,01777 713355
ATTWATERS,HO,147 High RoadIG10 4LY,020 8508 2111
ATTWATERS,BRN,Rothwell HouseCM20 1LQ,01279 638888
ATTWELLS SOLICITORS LLP,HO,Beacon HouseIP1 5PB,01473 746000
ATTWELLS SOLICITORS LLP,BRN,88 St. Johns Wood High StreetNW8 7SH,0207 722 9898
ATTWOOD & CO,HO,20 London RoadRM17 5XY,01375 898871
AUBREY DAVID INCORPORATING ADLER & CO,HO,40 Manchester StreetW1U 7LL,0207 224 4410
AUBREY ISAACSON SOLICITORS,HO,3 Scholes LaneM25 0PD,0161 959 5000
AUBREY ISAACSON SOLICITORS,BRN,66 Bury Old RoadM45 6TL,0161 959 6000
AUBREY ISAACSON SOLICITORS,BRN,60 Sunny Bank RoadBL9 8HJ,0161 959 5050
AUBREY ISAACSON SOLICITORS,BRN,8 Scholes LaneM25 0BA,0161 772 4000
AUGHTON AINSWORTH,HO,Furness HouseM50 2XA,+44 (0)161 877 8555
AURANGZEB KHAN SOLICITORS,HO,39 Duckworth LaneBD9 5ET,01274 548 549
AUSTEN WHETHAM & GUEST,HO,21 South StreetDT6 3NR,01308 422236
AUSTIN RAY,HO,102 QueenswayMK2 2RX,01908 644644
AUSTIN RYDER & CO,HO,285-287 Gray's Inn RoadWC1X 8QN,020 7833 0882
AUSTIN RYDER & CO,BRN,349 Hertford RoadN9 7BN,020 8804 5111
AUSTIN RYDER & CO,BRN,1 High StreetEN8 0BZ,01992 624804
AUSTINS LLP,HO,36-40 Liverpool RoadLU1 1RS,01582 456222
AUSTINS LLP,BRN,175 High StreetHP4 3AP,01442 872141
AVERTA EMPLOYMENT LAWYERS,HO,Vienna HouseB37 7GN,0870 421 1952
AVROM SHERR & CO,BRN,The RetreatNW4 1TH,020 7862 5859
AWDRY BAILEY & DOUGLAS,HO,33 St. Johns StreetSN10 1BW,01380 722311
AWDRY BAILEY & DOUGLAS,BRN,Westhill HouseSN11 0BU,01249 815110
AWDRY BAILEY & DOUGLAS,BRN,57 High StreetSN4 7AQ,01793 853200
AWDRY BAILEY & DOUGLAS,BRN,7 WOODSTOCK COURTSN8 4AN,01672 518620
AXIOM STONE,HO,Bayley HouseCV1 5RJ,024 76 433 436
AXIOM STONE LONDON LIMITED,HO,DVS HouseHA8 7EB,0208 951 6989
AYMAN SOLICITORS,HO,36 Chelsfield GroveM21 7SU,0161 862 9168
AZAM KHAN & CO SOLICITORS,HO,61 Leigham Court RoadSW16 2NJ,0208 769 3320
AZRIGHTS SOLICITORS,HO,81 Essex RoadN1 2SF,020 7700 1414
B & G SOLICITORS,HO,Shakespeare HouseN3 1HH,020 8349 4581
B D LADDIE,HO,16-18 Denbigh StreetSW1V 2ER,020 7963 8585
B G LEGAL SERVICES LIMITED,HO,2 Maritime HouseGU9 7HW,01252 717171
B G LEGAL SERVICES LIMITED,BRN,Oldebourne HouseWC2A 1JE,020 7404 7805
B J L SOLICITORS LIMITED,HO,The Old BankCH43 2HY,0151 652 1296
B J MACFARLANE & CO,HO,4 Lombard StreetEC3V 9HD,0207 190 2988
B LEGAL LIMITED,HO,One  Globeside Business ParkSL7 1HZ,01628 496687
B P COLLINS,HO,Collins HouseSL9 8EL,01753 889995
B P COLLINS TRUST CORPORATION LIMITED,HO,Collins HouseSL9 8EL,01753 889995
BA SOLICITORS,HO,436 Stratford RoadB11 4AD,0121 773 4200
BACKHOUSE JONES LIMITED,HO,The PrintworksBB7 9WD,01254 828300
BAEHRS SOLICITORS,HO,Abchurch ChambersBH1 2LN,01202 292075
BAFTAS SOLICITORS,HO,297 New Cross RoadSE14 6AS,0208 469 3200
BAILEY & BAILEY,HO,82 Borough RoadTS1 2JH,01642 240991
BAILEY & COGGER,HO,139 High StreetTN9 1DG,01732 353305
BAILEY & HAIGH,HO,Abbey ChambersYO8 4PU,01757 705191
BAILEY & HAIGH,BRN,58 Pasture RoadDN14 6HD,01405 780200
BAILEY SMAILES,HO,6 New North ParadeHD1 5JP,01484 435543
BAILEY WAIN & CURZON,HO,Springfield HouseST4 3AF,01782 847934
BAILHACHE SHAW MARSDEN,HO,2 Church SquareTA1 1SA,01823 351122
BAILY GIBSON,HO,5 Station ParadeHP9 2PG,01494 672661
BAILY GIBSON,BRN,30 High StreetHP11 2AG,01494 442661
BAINS AND CO,BRN,10 Station RoadWD17 1EG,01923 288488
BAKER & DUKE,BRN,20 Silver StreetTA19 0DN,
BAKER & MCKENZIE LLP,HO,100 New Bridge StreetEC4V 6JA,020 7919 1000
BAKER BOTTS (UK) LLP,HO,41 LothburyEC2R 7HF,0207 726 3636
BAKER MACDONALD,HO,3 The SquareTN13 2AA,01732 457978
BAKEWELLS,HO,64 Friar GateDE1 1DJ,01332 348791
BALFOUR LAW LIMITED,HO,Balfour HousePE4 6BP,01733 324444
BALLANTYNE GRANT LLP,HO,6 Mollington GrangeCH1 6NP,01244 294 230
BALSARA & CO. LTD,HO,Fourth FloorEC1N 2HA,0207 797 6300
BAMBRIDGES SOLICITORS LIMITED,HO,27 Wide BargatePE21 6SW,01205 310 510
BAND HATTON LLP,HO,1 Copthall HouseCV1 2FY,02476 632121
BANKS KELLY,HO,60 CheapsideEC2V 6JS,020 7248 4231
